1yr,2yr,3yr,4yr,5yr,7yr,10yr,30yr
-0.000509629,0.000112431,-0.000411412,-0.001037336,-0.001217766,-0.000725993,-0.000642618,-0.001167417
0.000401239,-0.000144227,0.000850776,0.000791614,0.000567733,0.000494309,0.000128539,0.000413328
-0.000240883,-0.00010429,-0.000572906,-0.000598047,0.00025541,-0.000602663,6.75E-05,-0.000499482
2.63E-05,0.000325993,-0.00035123,0.000130416,-2.59E-05,0.000729098,3.01E-05,0.000311223
-5.61E-05,-0.000446487,4.37E-05,7.98E-05,-6.53E-05,-3.11E-05,0.000488307,0.000322288
0.000444734,0.000390735,0.000657373,-6.64E-05,-0.000168598,-5.96E-06,-0.000112268,0.000218275
3.42E-05,-0.000323239,-0.000774767,0.000638463,0.000167761,-0.000259798,-0.000594868,-0.000805673
0.000176209,0.000666636,0.001044006,-0.000474745,-0.00010175,0.000616107,0.000274581,0.000291689
0.000186877,0.000265357,-0.000451545,0.000971572,0.000462975,-4.81E-05,0.001189088,0.000904044
-0.000708061,-0.000486885,0.000811077,-2.73E-05,0.000411445,5.98E-05,-0.000301444,0.000205129
0.000120495,0.000262464,-0.000317318,-0.000545999,-0.000370631,-0.000342599,0.000369912,6.69E-05
2.66E-05,4.34E-05,-0.000666725,-0.0001677,-0.000364487,0.000249347,-0.000245014,-0.000806934
-0.000513593,-0.000542698,0.000182209,-0.00063089,-0.000208371,-0.000232908,-0.001092873,-0.000522683
0.000361946,-0.000241073,0.000392359,0.000458218,-0.00014387,-0.000349392,0.000687091,0.000742084
1.24E-05,-4.24E-05,-0.000609105,0.000273167,0.000370425,0.000342409,-0.000414238,-0.00041476
-0.000453192,-0.000100781,0.000437825,-0.000407432,8.28E-05,-0.000590013,0.000498031,0.000432882
0.000143059,0.0007382,-4.43E-05,0.000230581,-6.31E-05,-7.66E-05,-5.07E-05,-0.000957697
0.000256083,-0.0001704,-0.0006423,0.000268655,0.00015359,0.000836858,-0.000623084,0.000909122
0.000542296,0.000437654,0.000729907,-0.000286726,2.83E-05,-4.54E-05,0.000627675,7.66E-05
-0.000816192,-0.000710151,-0.00088659,-0.0001889,-0.000150331,-0.000643229,0.000140548,-0.000687538
-0.000103277,-0.000218972,-9.03E-05,6.20E-05,-0.000553397,0.000358059,-0.000211352,-3.86E-05
-1.36E-05,0.000288868,0.000249263,0.000116566,0.000213216,-0.000688707,-0.000489841,-0.000345749
-0.000324522,-0.000294807,-0.000563322,-0.000372395,-0.00065104,-0.000156712,-0.000599183,-0.00019061
1.87E-05,-0.000290483,0.000703996,-0.000165948,4.79E-05,-3.94E-05,3.63E-05,0.000126738
0.000540341,0.00011491,-0.000193103,-0.000257526,0.00034111,0.000312811,0.000596421,-3.73E-05
-0.0004959,-8.02E-05,-0.000458497,0.00018114,-0.000116112,-0.000253495,-0.000589535,0.000575526
0.000167569,-0.000228026,-5.14E-05,-6.67E-05,-0.000439549,0.000361205,-0.000135382,-3.83E-05
-0.000146596,1.96E-05,0.000328277,-0.000291783,-3.23E-05,-0.000769484,0.000229104,-0.000657592
0.000662402,0.000622407,-0.000296758,0.000891392,0.000648702,0.000858372,-0.000162833,-0.000102036
-0.000583606,2.11E-05,0.000182707,-0.000215834,-0.000200606,2.98E-05,-0.000298778,0.000229815
0.000615333,0.000161177,-1.67E-05,-0.000114284,0.000302751,-0.000199265,0.000707301,-0.000207148
-0.000531565,-0.000297191,-5.80E-05,0.000155631,-0.000390854,-0.00026928,0.000252345,0.000659656
-1.19E-05,3.10E-05,0.000695114,-0.000580908,-9.33E-05,0.000134519,-0.000211476,-0.000527786
-0.000321298,-0.000437381,-0.000235049,0.000180514,0.000122846,-0.000287887,-0.000654007,-6.93E-05
0.000421609,1.01E-05,-0.000374418,0.000360459,0.000224323,0.000655243,0.000576994,0.000278222
0.00016688,0.000505013,0.000132007,-0.000698807,-0.000502508,-0.000463221,-0.000208797,-0.000245011
-0.000333279,-0.000643274,-0.000357416,0.000146591,-0.000273294,-0.000364129,-0.00061258,7.45E-05
9.49E-05,-3.54E-05,3.39E-05,-0.000472798,0.00010075,0.000374426,0.000258461,-0.000243199
0.000138291,0.000354043,-5.63E-05,0.000484267,0.000205701,-0.000494169,-0.000230127,-7.53E-05
