1yr,2yr,3yr,4yr,5yr,7yr,10yr,30yr
0.071,0.0716,0.0717,0.0717,0.0717,0.072,0.0724,0.0724
0.0703,0.0706,0.0707,0.0707,0.0708,0.0711,0.0714,0.0716
0.0707,0.0713,0.0714,0.0715,0.0716,0.0719,0.0721,0.0721
0.0701,0.0704,0.0706,0.0706,0.0707,0.071,0.0714,0.0714
0.0704,0.0709,0.0711,0.0713,0.0714,0.0717,0.072,0.0719
0.0704,0.071,0.0711,0.0713,0.0714,0.0718,0.0722,0.072
0.0706,0.0712,0.0714,0.0715,0.0717,0.072,0.0723,0.0719
0.0704,0.0709,0.071,0.0712,0.0713,0.0716,0.0719,0.0713
0.0708,0.0714,0.0716,0.0717,0.0719,0.0721,0.0723,0.0717
0.0712,0.0721,0.0723,0.0725,0.0728,0.0731,0.0735,0.0728
0.0712,0.0721,0.0723,0.0725,0.0728,0.0731,0.0735,0.0729
0.0713,0.0722,0.0725,0.0727,0.0729,0.0732,0.0736,0.073
0.0707,0.0714,0.0716,0.0718,0.0721,0.0724,0.0729,0.0723
0.0703,0.0709,0.0711,0.0712,0.0714,0.0718,0.0721,0.0716
0.0704,0.0712,0.0714,0.0716,0.0717,0.072,0.0724,0.0719
0.0703,0.071,0.0711,0.0713,0.0715,0.0718,0.0723,0.0717
0.0702,0.0708,0.071,0.0711,0.0713,0.0717,0.0721,0.0717
0.0701,0.0707,0.0709,0.071,0.0711,0.0715,0.072,0.0715
0.0703,0.0709,0.0711,0.0713,0.0715,0.0719,0.0723,0.0719
0.0706,0.0712,0.0714,0.0716,0.0718,0.0722,0.0726,0.0721
0.0704,0.0708,0.071,0.0712,0.0714,0.0718,0.0723,0.0717
0.0702,0.0706,0.0708,0.071,0.0712,0.0716,0.072,0.0718
0.0698,0.0702,0.0704,0.0705,0.0707,0.0711,0.0716,0.0713
0.0694,0.0697,0.0698,0.07,0.0702,0.0706,0.0711,0.0709
0.0694,0.0697,0.0698,0.07,0.0703,0.0706,0.0709,0.0706
0.0694,0.0697,0.0699,0.0701,0.0703,0.0706,0.0709,0.0707
0.0693,0.0696,0.0697,0.07,0.0702,0.0705,0.0709,0.0707
0.069,0.0692,0.0694,0.0696,0.0698,0.0701,0.0706,0.0705
0.0692,0.0694,0.0695,0.0695,0.0697,0.0699,0.0702,0.07
0.0696,0.07,0.0702,0.0704,0.0705,0.0707,0.0709,0.0705
0.0696,0.0699,0.07,0.0701,0.0703,0.0704,0.0706,0.0702
0.0696,0.0701,0.0702,0.0703,0.0704,0.0706,0.0708,0.0704
0.0697,0.0701,0.0702,0.0703,0.0704,0.0706,0.0709,0.0705
0.0696,0.0701,0.0702,0.0703,0.0704,0.0707,0.0708,0.0706
0.0695,0.0698,0.0699,0.07,0.0702,0.0704,0.0707,0.0705
0.0695,0.0698,0.0699,0.0701,0.0703,0.0705,0.0708,0.0706
0.0693,0.0695,0.0695,0.0695,0.0696,0.0698,0.0701,0.07
0.0691,0.0693,0.0693,0.0694,0.0694,0.0696,0.0699,0.0698
0.069,0.0691,0.0692,0.0692,0.0692,0.0694,0.0697,0.0696
0.0692,0.0694,0.0694,0.0694,0.0694,0.0696,0.0699,0.0699
0.0693,0.0697,0.0697,0.0698,0.0699,0.0702,0.0706,0.0705
0.0694,0.0699,0.07,0.0701,0.0703,0.0706,0.0709,0.0708
0.0691,0.0693,0.0694,0.0695,0.0696,0.0699,0.0703,0.0703
0.0684,0.0685,0.0685,0.0686,0.0687,0.0691,0.0696,0.0697
0.0683,0.0683,0.0683,0.0684,0.0685,0.0688,0.0693,0.0694
0.0685,0.0686,0.0686,0.0687,0.0688,0.0692,0.0697,0.0699
0.0684,0.0685,0.0686,0.0687,0.0689,0.0693,0.0699,0.07
0.0684,0.0685,0.0686,0.0688,0.0691,0.0695,0.0702,0.0702
0.0685,0.0687,0.0688,0.0691,0.0693,0.0698,0.0704,0.0703
0.0684,0.0686,0.0688,0.069,0.0693,0.0698,0.0705,0.0706
0.0682,0.0682,0.0683,0.0685,0.0687,0.0693,0.0699,0.0703
0.0681,0.068,0.068,0.0682,0.0684,0.069,0.0696,0.0702
0.0679,0.0678,0.0679,0.0682,0.0686,0.0694,0.0703,0.0711
0.0677,0.0676,0.0677,0.0681,0.0686,0.0695,0.0705,0.0711
0.0677,0.0675,0.0677,0.0681,0.0685,0.0694,0.0704,0.0712
0.0677,0.0675,0.0677,0.0681,0.0685,0.0694,0.0704,0.0712
0.0678,0.0679,0.0682,0.0686,0.0691,0.0699,0.0707,0.0713
0.0674,0.0673,0.0676,0.068,0.0684,0.0692,0.07,0.0708
0.0678,0.0678,0.068,0.0682,0.0686,0.0693,0.07,0.0704
0.0678,0.0676,0.0678,0.0681,0.0684,0.0691,0.0698,0.0702
0.0677,0.0675,0.0677,0.068,0.0683,0.0689,0.0696,0.0702
0.0678,0.0674,0.0675,0.0678,0.0681,0.0688,0.0695,0.0702
0.0675,0.0669,0.067,0.0672,0.0675,0.0681,0.0689,0.0697
